ACCURA	命中率
MOB_35D	不论如何吧，不说那些伤感的屁话了，自己喝一杯吧，孩子！
MOB_36A	汤米，我是菲尔。我感谢你把我到这儿来，小子。
MOB_36B	该死的越共！总是东躲西藏，随时准备埋伏老子。
MOB_36C	不管怎么说，伤口倒是痊愈很快。瞧我这独臂汉的样子…看来是不能再诈骗政府了！
MOB_40A	嗨，汤米。我是桑尼啊。日光浴舒服不？
MOB_40B	我可没那福气享受。
MOB_40C	是啊，我也没那福气讨来欠款，我真是搞不懂呀，
MOB_40D	你在干什么呢？告诉我汤米，你在干什么呢…
MOB_40E	我正在追查了，桑尼，放一百个心吧。
MOB_40F	我真的很担心呢，我就是这种人呀。
MOB_40G	我身边似乎出现了不值得信任的人呢…
MOB_40H	千万别变成那种人，汤米，拜托咯…
MOB_40I	这可是在打双赢牌。我等你的调查结果。
MOB_41A	汤米，还记得我不？
MOB_41B	你好，桑尼。
MOB_41C	就是我，桑尼呀！我们不是老朋友么？
MOB_41D	可你却连信也不写，电话也不打…难道是想与我恩断义绝吗…？
MOB_41E	我一直在忙着追查元凶。反倒是你没有给我什么帮助吧，桑尼。
MOB_41F	喔…所以说，现在反倒是我错了？你在忙什么，我是有所耳闻喔。
MOB_41G	忙着垄断贩毒行业…忙着割据一方…
MOB_41H	可别忘了我们喔，汤米！我盯着你呢，我可忘不掉你…
MOB_42A	汤米。
MOB_42B	桑尼。
MOB_42C	很明显你是上了年纪，听力衰退了…所以我再和你说一次吧…
MOB_42D	操你妈了个逼的我的钱呢？操你奶奶的我的货呢？你他妈的新赚的那笔钱里面，有没有一份是我的钱？
MOB_42E	你他妈的把我当个傻逼来耍…汤米，你真是惹毛老子了…
MOB_43A	汤米，汤米，汤米！刚刚桑尼给我打电话了！OK，你在听吗！
MOB_43B	不知道你那边有没有消息，桑尼说他要杀了我全家啊！
MOB_43C	妈的我屎都吓出来了！你打算怎么办啊？！
MOB_43D	肯，镇静些。
MOB_43E	我非常的镇静！镇静到马上就要死全家了！
MOB_43F	别搞得跟个智障一样，自己照顾自己。
MOB_43G	我们死不了的。等会儿联系。
MOB_43H	我很镇静！我听起来不镇静吗？我马上就要死全家了能不镇静吗…
MOB_47A	汤米，我是兰斯，这下麻烦大了！快到豪宅来，快点！
MOB_62A	汤米！老子是里卡多·迪亚兹！多谢你保护老子的交易，小子！
MOB_62B	我向科尔特斯那个傻逼打听过了——你真是个爷们。老兄，为什么不来老子手下做事呢？
MOB_62C	我需要一个你这样的人才！现在我的手下都他妈一群智障！
MOB_62D	全都是智障！来我这里赚大钱吧！
MOB_63A	汤米，我是印刷厂老伯，恩内斯特·凯利。
MOB_63B	你还好吗？
MOB_63C	还行。走路需要根拐杖，不过很快老夫就可以回去工作了。
MOB_63D	太好了。
MOB_63E	老夫听说了兰斯的事情…真是个混小子…嗯？
MOB_63F	是啊…
MOB_63G	老夫得告诉你，永远不要相信一个随意任性的人。还好你把他给杀了，我希望那混账死得痛苦些。
MOB_63H	大概吧…真没想到他会叛变…
MOB_63I	汤米，你和正宗的江湖老大相比，还是幼稚了些。等老夫的伤好了，就来跟你聊聊道上的事儿。
MOB_63J	慢慢来吧，老伯。先养病吧。
MOB_66A	汤米，汤米，为什么还要在这一带瞎逛呢？
MOB_66B	大婶告诉你吧，现在我们已经不需要你啦。
MOB_67A	汤米，我觉得你最好离我们海地帮远一点，明白了吗？
MOB_67B	海地人见到你就会把你大卸八块的！
MOB_68A	汤米，小子，告诉你个惊喜！
MOB_68B	我跟几个“艺术家们”在录音室里干活。
MOB_68C	想不想过来坐坐？
MOB_68D	应该感兴趣吧。待会儿见。
MOB_70A	汤米，是我，科尔特斯上校。先生，我相信你可以拯救我于危难之中，拜托助我一臂之力吧。
MOB_70B	我在船上等你。
MOB_72A	汤米，是我，兰斯。闭上你的嘴专心听我说，我没时间和你废话。
MOB_72B	我为什么要听你命令？为什么？你可从来没关心过我，是吧？！
MOB_72C	你怎么对我漠不关心呢？！起码让我得到应有的那一份吧…
MOB_72D	汤米...喔，老兄…对不起…我…我只是…
MOB_72E	讨厌大家处处看不起我，把我当成个小屁孩看待…
MOB_72F	和我哥哥一个样！求你了，别这样对我…
MOB_72G	我先挂了。
MOB_73A	汤米，我是史蒂夫。
MOB_73B	嘿，史蒂夫。
MOB_73C	嘿，真是天才啊！你是个天才！我也是个天才！毛片大卖了！我们正在重写历史，老兄！
MOB_73D	说点正事。我终于能够让我爸闭上嘴巴了。
MOB_73E	呃，不错嘛，史蒂夫。
MOB_73F	不错？应该说超棒啊，老兄！超！棒！他从来没有相信过我，认为我不是做艺术的料！可是我证明了自己！
MOB_73G	我绝对他妈的是有史以来最牛逼的AV导演！老兄，我只想说，遇见你是我这辈子的福气啊！
MOB_73H	谢谢夸奖，史蒂夫。
MOB_73I	我爱你，宝贝！别离开我喔！
MOB_73J	我知道的。拜拜，史蒂夫。
MOB_95	到目的地的公用电话亭去。
MOB_95A	到小哈瓦那的公用电话亭去。
MOB_96	到目的地的公用电话亭去。
MOB_96A	到机场的公用电话亭去。
MOB_97	到目的地的公用电话亭去。
MOB_98	到目的地的公用电话亭去。
MOB_98A	到罪城之角的公用电话亭去。
MOB_99	到目的地的公用电话亭去。
MOB_99A	到华盛顿商场旁边的那个公用电话亭去。
MONTAX	出租车任务赚的钱
MOONBM	Moonbeam
MP5	冲锋枪 MP5
MULE	Mule
MXCARD	最远特技跳跃（英尺）
MXCARDM	最远特技跳跃（米）
MXCARJ	最高特技跳跃（英尺）
MXCARJM	最高特技跳跃（米）
MXFLIP	最大特技跳跃空翻
MXJUMP	最大特技跳跃旋转角度
M_FAIL	任务失败！
M_PASS	任务成功! $~1~
NBMNBUY	购买南美式豪宅花费： $~1~
NBMN_C	按下~h~~k~~PED_ANSWER_PHONE~~w~购买南美式豪宅。花费$~1~
NBMN_L	按下~h~~k~~PED_ANSWER_PHONE~~w~购买南美式豪宅。花费$~1~
NBMN_T	按下~h~~k~~PED_ANSWER_PHONE~~w~购买南美式豪宅。花费$~1~
NEWCONT	现在已可接受~h~南美上校科尔特斯~w~给的任务！
NEW_REC	~g~新纪录！~w~~1~分~w~~1~秒。
NITRO	现在驾驶出租车，按鸣笛键即可跳跃！
NMISON	尝试过的任务总次数
NOCD	清插入光驱。
NOMONEY	~g~持有金额不足！
NOSTUC	没完成任何疯狂特技任务
NOTAXI	~g~你需要一辆考夫曼公司的“Kaufman Cab”开启本任务。
NOUNIF	特技跳跃完成数
NOV	Nov
NO_PCCD	请插入你的GTA Vice City光驱，或按ESC键取消。
NUMBER	~1~
NUMSHV	存档次数
OCEANIC	Oceanic
OCHEBUY	购买大洋之顶公寓花费： $~1~
OCHE_C	按下~h~~k~~PED_ANSWER_PHONE~~w~购买大洋之顶公寓。花费$~1~
OCHE_L	按下~h~~k~~PED_ANSWER_PHONE~~w~购买大洋之顶公寓。花费$~1~
OCHE_T	按下~h~~k~~PED_ANSWER_PHONE~~w~购买大洋之顶公寓。花费$~1~
OCT	Oct
OPENCD	光驱已弹出。请关闭。
OUTFT1	街头便装
OUTFT10	运动服
OUTFT11	运动服
OUTFT12	全通关隐藏制服
OUTFT13	汤米的个人西装
OUTFT2	宴会西装
OUTFT3	工装
OUTFT4	高尔夫装
OUTFT5	古巴帮制服
OUTFT6	警服
OUTFT7	劫匪装
OUTFT8	休闲便装
OUTFT9	汤米的个人西装
PACKER	Packer
PAGEB11	喷火器已送到了住处。
PAGEB13	生命补给已送到了住处。
PAGEB14	防弹衣补给已送到了住处。
PAGE_00	.
PAGE_01	两分钟内杀死~1~名黑帮成员！
PAGE_02	两分钟内摧毁~1~架载具！
PAGE_03	两分钟内通过驾驶射击杀死~1~名黑帮成员！
PAGE_04	两分钟内使用载具压死~1~名黑帮成员！
PAGE_05	两分钟内枪杀~1~名黑帮成员！
PASDRO	下车的乘客数
PATRIOT	Patriot
PBOAT_1	按~h~~k~~PED_FIREWEAPON~~w~开枪。
PBOAT_2	按~h~~k~~PED_FIREWEAPON~~w~开枪。
PCJ600	PCJ 600
PCRESRT	正在开始新游戏，请稍等...
PEREN	Perennial
PERPIC	找到的隐藏包裹总数
PER_COM	总完成度
PE_WAST	被你杀死的总人数
PE_WSOT	被他人杀死的总人数
PHIL	菲尔任务
PHIL1	菲尔任务1
PHIL2	菲尔任务2
PHIL_1	军火走私贩
PHIL_2	西贡烈酒
PHOENIX	Phoenix
PICK1	防弹衣已送达海景旅馆！
PICK10	武装直升机“Hunter”已可在巴克斯特空军基地取得！
PICK2	蟒蛇左轮已送达海景旅馆！
PICK3	电锯已送达海景旅馆！
PICK4	喷火器已送达海景旅馆！
PICK5	狙击步枪PSG-1已送达海景旅馆！
PICK6	转轮机枪已送达海景旅馆！
PICK7	火箭筒已送达海景旅馆！
PICK8	水上直升机“Sparrow”已可在海星岛取得！
PICK9	坦克已可在巴克斯特空军基地取得！
PISTOL	手枪 M1911
PIZ1_A	披萨小子
PIZZABO	Pizza Boy
PLANE_4	按~h~~k~~VEHICLE_ACCELERATE~~w~加速。左右键控制方向。
PLANE_H	按~h~~k~~VEHICLE_ACCELERATE~~w~加速。左右键控制方向。
PL_STAT	玩家数据统计
POLICAR	Police
POLMAV	Police Maverick
POL_HQ	VCPD HQ
PONY	Pony
POR1_03	~r~甜心宝贝死了！
POR1_19	嘿！
PORN	色情任务
PORN1	色情任务1
PORN2	色情任务2
PORN3	色情任务3
PORN4	色情任务4
PORNBUY	购买电影厂花费： $~1~
PORNI	虾岛
PORN_1	招兵买马子
PORN_2	大鸟高飞
PORN_3	玛莎的真面目
PORN_4	巨乳聚光灯
PORN_C	按下~h~~k~~PED_ANSWER_PHONE~~w~购买电影厂。花费$~1~
PORN_L	按下~h~~k~~PED_ANSWER_PHONE~~w~购买电影厂。花费$~1~
PORN_NO	以你目前的势力来看，购买电影厂是异想天开啊。继续完成主线任务吧。
PORN_T	按下~h~~k~~PED_ANSWER_PHONE~~w~购买电影厂。花费$~1~
PQUINS	完美四连疯狂特技
PREDATR	Predator
PRINST	完美双重疯狂特技
PRNT_C	按下~h~~k~~PED_ANSWER_PHONE~~w~购买印刷厂。花费$~1~
PRNT_L	按下~h~~k~~PED_ANSWER_PHONE~~w~购买印刷厂。花费$~1~
PRNT_NO	以你目前的势力来看，购买印刷厂是异想天开啊。继续完成主线任务吧。
PRNT_T	按下~h~~k~~PED_ANSWER_PHONE~~w~购买印刷厂。花费$~1~
PROPOWN	拥有的资产
PROP_1	你现在没钱购买这座资产！
PROP_2	无法在任务过程中购买资产！
PROT	保护任务
PRTRST	完美三重疯狂特技
PU_CF1	按~h~~k~~PED_ANSWER_PHONE~~w~捡起武器，它会取代你拥有的同类型武器。
PU_CF3	按~h~~k~~PED_ANSWER_PHONE~~w~替换当前的同种武器。
PU_CF4	按~h~~k~~PED_ANSWER_PHONE~~w~替换当前的同种武器。
PU_MONY	你太穷了！
PYTHON	手枪 蟒蛇左轮
QUINST	完美四重疯狂特技
RACE1	~g~3…2…1…出发吧！
RACE2	~g~3
RACE3	~g~2
RACE4	~g~1
RACE5	~g~冲啊！
RACEFA	~r~输掉了比赛！
RACES	时间：
RACES17	新最佳纪录：~1~：~1~
RACES18	你赢得了： $~1~
RACES20	新最佳纪录： ~1~：0~1~
RACES21	时间： ~1~：0~1~
RACES_4	3
RACES_5	2
RACES_6	1
RACES_7	冲啊！
RACES_9	比赛时间： ~1~：~1~
RACETM	~b~比赛时间： ~1~：~1~
RACETM2	~b~比赛时间： ~1~：0~1~
RAMPAGE	杀戮任务！
RAMP_A	你完成了所有杀戮任务！
RAMP_F	杀戮任务失败！
RAMP_P	杀戮任务通过！
RANCHER	Rancher
RANGE	射击场
RATNG1	一 Upstanding Citizen
RATNG10	十 Rat
RATNG11	十一 Leece
RATNG12	十二 Scam Artist
RATNG13	十三 Trickster
RATNG14	十四 Numbers Runner
RATNG15	十五 Hustler
RATNG16	十六 Bully
RATNG17	十七 Riff-Raff
RATNG18	十八 Scalawag
RATNG19	十九 Ruffian
RATNG2	二 Nobody Special
RATNG20	二十 Outlaw
RATNG21	二十一 Thug
RATNG22	二十二 Drop Man
RATNG23	二十三 SA Goon
RATNG24	二十四 Goon
RATNG25	二十五 Jailbird
RATNG26	二十六 Ex-Con
RATNG27	二十七 Felon
RATNG28	二十八 Bag Man
RATNG29	二十九 Wiseguy
RATNG3	三 Litterer
RATNG30	三十 Wheelman
RATNG31	三十一 Hired Muscle
RATNG32	三十二 Hatchetman
RATNG33	三十三 Headhunter
RATNG34	三十四 Enforcer
RATNG35	三十五 Ronin
RATNG36	三十六 Fixer
RATNG37	三十七 Hitman
RATNG38	三十八 Associate
RATNG39	三十九 Butcher
RATNG4	四 Shoplifter
RATNG40	四十 Cleaner
RATNG41	四十一 Assassin
RATNG42	四十二 Consigliere
RATNG43	四十三 Made Man
RATNG44	四十四 Right-Hand Man
RATNG45	四十五 Executioner
RATNG46	四十六 Lieutenant
RATNG47	四十七 Underboss
RATNG48	四十八 Capo
RATNG49	四十九 Boss
RATNG5	五 Vandal
RATNG50	五十 Kingpin
RATNG51	五十一 Don
RATNG52	五十二 Godfather
RATNG53	负一 不诚实
RATNG54	负二 不要脸
RATNG55	负三 作弊仔
RATNG56	负四 作弊狗
RATNG57	负五 作弊老狗
RATNG6	六 Do boy
RATNG7	七 Pickpocket
RATNG8	八 Clepto
RATNG9	九 Snitch
RBM1_11	无更多需求
RBM1_3	无更多需求
RBM1_6	~g~把爱之汁液和梅赛德斯送到录音室那里的乐团去。
RBM2_6	~g~我靠！那货是个伪娘！阻止他！
RBM3_5	~g~把爱之拳乐队送到演唱会地点。
RC4	杀戮任务
RCBANDT	RC Bandit
RCBARON	RC Baron
RCCANX	~r~遥控飞机任务取消。
RCH1_1	无更多需求 无更多需求 无更多需求 无更多需求 无更多需求 无更多需求
RCH1_10	~b~总用时： ~1~：0~1~
RCH1_11	遥控直升机任务
RCH1_2	~g~检查点零散且危险地分布在机场四处。
RCH1_3	裁定很帅
RCH1_5	时间：
RCH1_6	~g~操控RC小直升机收集分布在机场四处的检查点。
RCH1_9	~b~总用时： ~1~：~1~
RCPL1_1	~g~与其他三辆RC遥控车比赛。
RCPL1_2	~g~你需要穿过~o~光环中心~g~才能成功通过一个检查点。
RCPL1_3	~g~赶紧到起点准备！
RCPL1_7	遥控飞机任务
RCR1_3	~g~如果要退出本任务，可按 ~h~~k~~PED_FIREWEAPON~~g~引爆遥控车。
RCR1_5	遥控赛车任务
RCRAIDE	RC Raider
RCRC1_2	~g~赶紧到起点准备！
RCRC1_4	~g~3
RCRC1_5	~g~2
RCRC1_6	~g~1
RCRC1_7	~g~冲啊！
RCRC1_8	~g~比赛时间：~1~秒
REEFER	Reefer
REGINA	Regina
RELOAD	~g~托马斯·“汤米”·维赛迪获得了快速换弹的能力！
REPLAY	回放
RESTART	开始新游戏
REWARD	奖励 $~1~
RHINO	Rhino
RIO	Rio
ROCK	THE ROCKBAND GANG MISSIONS
ROCK3	ROCKBAND MISSION 3
ROCK_1	爱之汁液
ROCK_2	黑粉危机
ROCK_3	生死时速
ROCK_4	爱之拳！
ROK1_1E	~g~你太穷了！
ROK1_1F	~g~等你有钱的时候再回来。
ROK1_4	~g~好吧，我想这就是你想追求的…
ROK3_72	爱之拳！
ROMERO	Romero's Hearse
RUGER	步枪 克鲁格
RUMPO	Rumpo
R_TIME	比赛时间：
SABRE	Sabre
SABRETU	Sabre Turbo
SANCHEZ	Sanchez
SANDKIN	Sandking
SAVE1	走进磁带图标~h~存档~w~。任务期间不能保存。
SAVE2	当游戏保存时任何停在车库里的车都会被保存。
SCARF	3C公寓
SCREWD	螺丝刀
SEAGULL	海鸟击落数
SEASPAR	海鸟
SECOND	~b~第二名
SECURI	Securicar
SEG3_1	时间：
SEG3_10	~g~放置成功！还剩2个。
SEG3_11	~g~放置成功！只剩1个了！
SEG3_12	~r~放错了！去把炸弹拿回来！
SEG3_13	~g~在目标区域放下炸弹。
SEG3_14	~r~时间耗尽，你没能成功破坏这座楼。
SEG3_15	~r~RC Raider被毁了！你他妈还怎么放炸弹？
SEG3_2	~g~到达装着RC Raider和远程定时炸弹的货车。
SEG3_3	~g~你需要操控RC Raider把4个炸弹运送到大楼工地里的4个目标区域。
SEG3_4	~g~将RC Raider靠近炸弹就可以捡起一个，而要放下炸弹就需要按~h~~k~~PED_FIREWEAPON~~g~。
SEG3_6	~g~为了成功的放置炸弹，你需要将其在~q~粉红色的区域~g~内放下。~w~你可以按任意顺序放置炸弹。
SEG3_7	~g~一旦你成功的在一个目标区域放置炸弹，记时就会开始。你必须在规定时间内放置所有炸弹。
SEG3_8	~g~所有的这4个炸弹必须放置在4个目标去以内，这样才能完成任务、破坏建筑。
SEG3_9	~g~放置成功！还剩3个。
SENTINL	Sentinel
SENTXS	Sentinel XS
SEP	Sept
SERG3_5	~g~只能同时带一个炸弹，并且，放置后不能再次捡取。
SET1EN	第一套设置启动
SHOTGN1	霰弹枪 M870
SHOTGN2	霰弹枪 SPAS 12
SHOTGN3	霰弹枪 M500
SHO_RAN	射击场排名
SKIMMER	Skimmer
SKUMBUY	购买破败小屋花费：$~1~
SKUM_C	按~h~~k~~PED_ANSWER_PHONE~ ~w~键购入破败小屋。花费$~1~
SKUM_L	按~h~~k~~PED_ANSWER_PHONE~ ~w~键购入破败小屋。花费$~1~
SKUM_T	按~h~~k~~PED_ANSWER_PHONE~ ~w~键购入破败小屋。花费$~1~
SNIPE	狙击枪 M700
SPAND	Spand Express
SPARROW	Sparrow
SPEEDER	Speeder
SPRAYIN	喷漆店
SQUALO	Squalo
STALION	Stallion
STARI	海星岛
STFT_01	任务“钢铁之轮”的最快用时
STFT_02	任务“司机传说”的最快用时
STFT_03	驾驶“Dirtring”比赛的最快用时
STFT_04	遥控飞机赛的最快用时
STFT_05	遥控车赛的最快用时
STFT_06	遥控直升机赛的最快用时
STFT_07	任务“速霸”的最快用时
STFT_08	任务“滨海飞车”的最快用时
STFT_09	任务“边城拉力”的最快用时
STFT_10	任务“巡车高手”的最快用时
STFT_11	任务“电光火石！”的最快用时
STFT_12	任务“罪城拉力赛”的最快用时
STFT_13	任务“市中心飞行赛”的最快用时
STFT_14	任务“大洋海滩飞行赛”的最快用时
STFT_15	任务“罪城之角飞行赛”的最快用时
STFT_16	任务“小海地飞行赛”的最快用时
STFT_17	任务“PCJ车舞”的最快用时
STFT_18	任务“泥径赛道”的最快用时
STFT_19	任务“曲径赛道”的最快用时
STFT_20	任务“停车场大作战”的最快用时
STFT_21	驾驶“Hotring”比赛的最快用时
STFT_22	驾驶“Hotring”比赛的最快绕圈速度
STFT_23	任务“傻瓜收集”的最快用时
STHC_01	任务“神枪手菲尔”的最高分
STHC_02	任务“神枪手菲尔”的最高成绩
STHC_03	毒品交易成功数
STHC_04	在海星岛顶球的最高次数
STHC_05	驾驶“Hotring”比赛的最好成绩
STINGER	Stinger
STOCK	~r~断货
STPR_1	马里布俱乐部
STPR_10	脉景公寓
STPR_11	南美式豪宅
STPR_12	华盛顿街 1102号
STPR_13	大洋之顶公寓
STPR_14	破败小屋
STPR_15	海曼公寓
STPR_2	印刷厂
STPR_3	电影厂
STPR_4	冰淇淋厂
STPR_5	阳光车行
STPR_6	考夫曼出租车公司
STPR_7	船厂
STPR_8	极点俱乐部
STPR_9	罪城之角 3321号
STRETCH	Stretch
STRIP	极点俱乐部
STRIP_1	~r~你个穷鬼，钱都拿不够！
STRPBUY	购买极点俱乐部花费： $~1~
STRP_C	按~h~~k~~PED_ANSWER_PHONE~ ~w~键购入极点俱乐部。花费$~1~
STRP_L	按~h~~k~~PED_ANSWER_PHONE~ ~w~键购入极点俱乐部。花费$~1~
STRP_NO	以你目前的势力来看，购买极点俱乐部是异想天开啊。继续完成主线任务吧。
STRP_T	按~h~~k~~PED_ANSWER_PHONE~ ~w~键购入极点俱乐部。花费$~1~
ST_2WHD	二轮行驶最长距离（米）
ST_2WHE	二轮行驶最长时间（秒）
ST_ASSI	暗杀任务完成数
ST_AUTO	汽车修理与喷漆总花费
ST_BRK	杀戮任务完成数
ST_DAMA	公共资产总毁坏金额
ST_DRWN	淹死的次数
ST_FASH	买衣服总花费
ST_FAVR	最喜欢的电台
ST_FAVV	最喜欢开的车
ST_FTIM	飞行时间
ST_GANG	最讨厌的帮派
ST_GARB	捡起垃圾总次数
ST_GNG1	古巴帮
ST_GNG2	海地帮
ST_GNG3	鲨帮
ST_GNG4	迪亚兹帮
ST_GNG5	保安
ST_GNG6	飞车党
ST_GNG7	维赛迪帮
ST_GNG8	高尔夫练球团
ST_HEAD	爆头次数
ST_ICEC	卖掉的冰激凌总数
ST_LOAN	街边小店的抢劫次数
ST_LTBR	最长血腥杀戮时间（秒）
ST_MOVI	特技镜头
ST_PHOT	拍照总次数
ST_PIZZ	披萨送达总数
ST_PR01	飞机驾驶员
ST_PR02	2 Aircraftman
ST_PR03	3 Pilot Officer
ST_PR04	4 Corporal
ST_PR05	5 Lieutenant
ST_PR06	6 Sergeant
ST_PR07	7 Captain
ST_PR08	8 Biggs
ST_PR09	9 Wedge
ST_PR10	10 Red Baron
ST_PR11	11 Goose
ST_PR12	12 Viper
ST_PR13	13 Jester
ST_PR14	14 Chappy
ST_PR15	15 Iceman
ST_PR16	16 Maverick
ST_PR17	17 Noops
ST_PR18	18 Air Chief Marshal
ST_PR19	19 Ace
ST_PRAN	飞行段位
ST_PROP	不动产花费
ST_RAN0	0 Learner
ST_RAN1	1 Navigator
ST_RAN2	2 Co Pilot
ST_RAN3	3 Junior
ST_RAN4	4 Competent
ST_RAN5	5 Senior
ST_RAN6	6 Ace
ST_RAN7	7 Red baron
ST_STAR	警星总获得数
ST_STGN	警星总消除数
ST_STOD	前轮独轮行驶最长距离（米）
ST_STOP	前轮独轮行驶最长时间（秒）
ST_STOR	抢劫商店总数
ST_TIME	游戏时间
ST_WEAP	武器总消费
ST_WHED	后轮独轮行驶最长距离（米）
ST_WHEE	后轮独轮行驶最长时间（秒）
ST_WSTR	最不喜欢的电台
SUNSHIN	阳光车行
S_PROMP	不在任务中时，你可以走进任意一个~h~磁带~w~或在暂停菜单保存游戏。
T4X4_1	PCJ车舞
T4X4_3	'GRIPPED!'
T4X4_F	~r~你失败了！这玩意对你来说太难了么？
TAX2_4	继续，汤米！
TAX2_5	把他打得落花流水！
TAX2_6	他甚至连驾驶证都没有！
TAX2_7	万恶的资本主义！
TAXI	Taxi
TAXI2	~r~时间耗尽了！
TAXIBUY	购买考夫曼出租车公司花费： $~1~
TAXI_1	贵宾用户
TAXI_2	友好竞争
TAXI_3	恶煞车手
TAXI_C	按~h~~k~~PED_ANSWER_PHONE~ ~w~键购入考夫曼出租车公司。花费$~1~
TAXI_L	按~h~~k~~PED_ANSWER_PHONE~ ~w~键购入考夫曼出租车公司。花费$~1~
TAXI_M	出租车任务
TAXI_NO	以你目前的势力来看，购买出租车公司是异想天开啊。继续完成主线任务吧。
TAXI_T	按~h~~k~~PED_ANSWER_PHONE~ ~w~键购入考夫曼出租车公司。花费$~1~
TAXSHRT	~g~你可以乘坐这辆出租车前往目的地，打车费$9。
TAXW1_5	~g~你需要驾驶一辆考夫曼公司的出租车！
TAXW3_1	~g~去接梅赛德斯。
TAXWAR	TAXI WAR MISSIONS
TAX_1	Kaufman Cabs
TEC9	冲锋枪 Tec 9
TEX1_5	~r~他跑了！
TEX3_9	~g~通过将RC直升机靠近一个炸弹来捡起它。
TEXTXYZ	正在将坐标写入文件...
TEX_1	铁四角
TEX_2	灵车漂移
TEX_3	破坏者
THIRD	~b~第三名
TIMER	这是个限时任务。你必须在时间耗尽前完成它。
TMANS	维赛迪宅
TM_BUST	被逮捕次数
TM_DED	死亡次数
TOPFUN	Top Fun
TOP_SHO	射击场最好记录
TOTDISM	行驶的总里程数（米）
TOT_DIS	行驶的总里程数（英里）
TRASHM	Trashmaster
TRINST	疯狂三重完美特技
TROPIC	Tropic
TSCORE	收入： $~1~
TTUTOR	按下 ~h~~k~~TOGGLE_SUBMISSIONS~~w~开始出租车任务。
TTUTOR2	按下 ~h~~k~~TOGGLE_SUBMISSIONS~~w~开始出租车任务。
TYREPOP	射爆的轮胎总数
TYRESLA	用刀割车胎总次数
UMBERTO	罗比那咖啡店
USJ	特技飞跃奖励！
USJ_ALL	所有特技飞跃都已完成！
UZI	冲锋枪 Uzi
VCNMAV	VCN Maverick
VCPTBUY	购买罪城之角 3321号花费： $~1~
VCPT_C	按~h~~k~~PED_ANSWER_PHONE~ ~w~键购入罪城之角 3321号。花费$~1~
VCPT_L	按~h~~k~~PED_ANSWER_PHONE~ ~w~键购入罪城之角 3321号。花费$~1~
VCPT_T	按~h~~k~~PED_ANSWER_PHONE~ ~w~键购入罪城之角 3321号。花费$~1~
VICE_C	罪恶都市
VIRGO	Virgo
VOODOO	Voodoo
WALTON	Walton
WANT_A	托马斯·“汤米”·维赛迪可能被警方~h~追捕~w~。
WANT_B	~h~警星~w~在屏幕右上方显示。
WANT_C	现在，~h~警星~w~是一星…
WANT_D	两星...
WANT_E	三星...
WANT_F	~h~警星~w~越高，警力越强。
WANT_G	汤米被~h~逮捕~w~后，会被带到附近最近的警察局。
WANT_H	所有武器都会被没收。还得破财消灾，交一点钱贿赂警察。
WANT_I	任何在进行的任务都会失败。
WANT_J	再进行会儿游戏你就会发现更多减少警星的方法。
WANT_K	如果你在车里，驶入~h~喷漆店~w~可以将警星~h~清零~w~。
WANT_L	你的警星会得到暂时解除。如果你在警星闪跳时作案，你的警星将会立刻恢复。
WASHBUY	购买华盛顿街 1102号花费： $~1~
WASHING	Washington
WASH_C	按~h~~k~~PED_ANSWER_PHONE~~w~键购入华盛顿街 1102号。花费$~1~
WASH_L	按~h~~k~~PED_ANSWER_PHONE~~w~键购入华盛顿街 1102号。花费$~1~
WASH_T	按~h~~k~~PED_ANSWER_PHONE~~w~键购入华盛顿街 1102号。花费$~1~
WEATHE1	强制晴天
WEATHE2	强制晴空万里
WEATHE3	强制多云
WEATHE4	强制雨天
WEATHE5	强制浓雾天
WEATHE6	正常天气
WELCOME	欢迎来到
WHEEL01	二轮独行双重奖励：$~1~，距离：~1~.~1~米，时长：~1~秒
WHEEL02	二轮独行双重奖励：$~1~，距离：~1~.~1~米，时长：~1~秒
WHEEL03	二轮独行双重奖励：$~1~，距离：~1~英尺，时长：~1~秒
WHEEL04	二轮独行双重奖励：$~1~，距离：~1~英尺，时长：~1~秒
WHEEL05	二轮独行奖励：$~1~，距离：~1~英尺
WHEEL06	后轮独轮奖励：$~1~，距离：~1~.~1~米，时长：~1~秒
WHEEL07	后轮独轮奖励：$~1~，距离：~1~英尺，时长：~1~秒
WHEEL08	后轮独轮奖励：$~1~，时长：~1~秒
WHEEL09	后轮独轮奖励：$~1~，距离：~1~.~1~米
WHEEL10	后轮独轮奖励：$~1~，距离：~1~英尺
WHEEL11	前轮独轮奖励：$~1~，距离：~1~.~1~米，时长：~1~秒
WHEEL12	前轮独轮奖励：$~1~，距离：~1~.~1~米，时长：~1~秒
WHEEL13	前轮独轮奖励：$~1~，时长：~1~秒
WHEEL14	前轮独轮奖励：$~1~，距离：~1~.~1~米
WHEEL15	前轮独轮奖励：$~1~，距离：~1~英尺
WHOOPEE	Mr. Whoopee
WIN_95	Grand Theft Auto VC无法运行在Windows 95上
WIN_DX	Grand Theft Auto VC最低需要DirectX 8.1版
WIN_TTL	Grand Theft Auto VC
WIN_VDM	Grand Theft Auto VC无法找到足够的显存。
WRONGCD	无法读取的光驱。请插入正确的光驱。
YANKEE	Yankee
ZEBRA	Zebra Cab
